k: 1 ,beta: 0.0 -----> mean: 0.7038 ,std: 0.0044 ,maximum accuracy: 0.711
k: 20 ,beta: 0.1 -----> mean: 0.7028 ,std: 0.0013 ,maximum accuracy: 0.705
k: 20 ,beta: 0.2 -----> mean: 0.701 ,std: 0.0023 ,maximum accuracy: 0.704
k: 20 ,beta: 0.3 -----> mean: 0.6998 ,std: 0.0033 ,maximum accuracy: 0.704
k: 20 ,beta: 0.4 -----> mean: 0.699 ,std: 0.0022 ,maximum accuracy: 0.701
k: 20 ,beta: 0.5 -----> mean: 0.702 ,std: 0.004 ,maximum accuracy: 0.707
k: 20 ,beta: 0.6 -----> mean: 0.7018 ,std: 0.0045 ,maximum accuracy: 0.708
k: 20 ,beta: 0.7 -----> mean: 0.702 ,std: 0.003 ,maximum accuracy: 0.706
k: 20 ,beta: 0.8 -----> mean: 0.7002 ,std: 0.0027 ,maximum accuracy: 0.704
k: 20 ,beta: 0.9 -----> mean: 0.7032 ,std: 0.002 ,maximum accuracy: 0.706
k: 20 ,beta: 1.0 -----> mean: 0.701 ,std: 0.0017 ,maximum accuracy: 0.703
k: 25 ,beta: 0.0 -----> mean: 0.6968 ,std: 0.0037 ,maximum accuracy: 0.702
k: 25 ,beta: 0.1 -----> mean: 0.699 ,std: 0.0044 ,maximum accuracy: 0.707
k: 25 ,beta: 0.2 -----> mean: 0.7032 ,std: 0.0033 ,maximum accuracy: 0.707
k: 25 ,beta: 0.3 -----> mean: 0.7018 ,std: 0.0016 ,maximum accuracy: 0.704
k: 25 ,beta: 0.4 -----> mean: 0.7016 ,std: 0.0023 ,maximum accuracy: 0.703
k: 25 ,beta: 0.5 -----> mean: 0.7004 ,std: 0.0029 ,maximum accuracy: 0.705
k: 25 ,beta: 0.6 -----> mean: 0.7014 ,std: 0.0029 ,maximum accuracy: 0.706
k: 25 ,beta: 0.7 -----> mean: 0.7004 ,std: 0.0019 ,maximum accuracy: 0.703
k: 25 ,beta: 0.8 -----> mean: 0.6992 ,std: 0.0029 ,maximum accuracy: 0.704
k: 25 ,beta: 0.9 -----> mean: 0.7006 ,std: 0.0038 ,maximum accuracy: 0.705
k: 25 ,beta: 1.0 -----> mean: 0.7016 ,std: 0.002 ,maximum accuracy: 0.705
k: 30 ,beta: 0.0 -----> mean: 0.7 ,std: 0.0033 ,maximum accuracy: 0.704
k: 30 ,beta: 0.1 -----> mean: 0.6996 ,std: 0.0028 ,maximum accuracy: 0.703
k: 30 ,beta: 0.2 -----> mean: 0.7012 ,std: 0.0038 ,maximum accuracy: 0.705
k: 30 ,beta: 0.3 -----> mean: 0.7016 ,std: 0.0029 ,maximum accuracy: 0.705
k: 30 ,beta: 0.4 -----> mean: 0.701 ,std: 0.0046 ,maximum accuracy: 0.709
k: 30 ,beta: 0.5 -----> mean: 0.7012 ,std: 0.0026 ,maximum accuracy: 0.706
k: 30 ,beta: 0.6 -----> mean: 0.6984 ,std: 0.0016 ,maximum accuracy: 0.701
k: 30 ,beta: 0.7 -----> mean: 0.7024 ,std: 0.002 ,maximum accuracy: 0.706
k: 30 ,beta: 0.8 -----> mean: 0.7032 ,std: 0.0042 ,maximum accuracy: 0.707
k: 30 ,beta: 0.9 -----> mean: 0.7008 ,std: 0.0025 ,maximum accuracy: 0.703
k: 30 ,beta: 1.0 -----> mean: 0.7024 ,std: 0.0022 ,maximum accuracy: 0.705
k: 35 ,beta: 0.0 -----> mean: 0.6996 ,std: 0.0031 ,maximum accuracy: 0.704
k: 35 ,beta: 0.1 -----> mean: 0.6994 ,std: 0.0039 ,maximum accuracy: 0.704
k: 35 ,beta: 0.2 -----> mean: 0.7022 ,std: 0.0032 ,maximum accuracy: 0.708
k: 35 ,beta: 0.3 -----> mean: 0.7026 ,std: 0.0024 ,maximum accuracy: 0.706
k: 35 ,beta: 0.4 -----> mean: 0.7012 ,std: 0.0022 ,maximum accuracy: 0.705
k: 35 ,beta: 0.5 -----> mean: 0.701 ,std: 0.0009 ,maximum accuracy: 0.702
k: 35 ,beta: 0.6 -----> mean: 0.6974 ,std: 0.0019 ,maximum accuracy: 0.7
k: 35 ,beta: 0.7 -----> mean: 0.6984 ,std: 0.0015 ,maximum accuracy: 0.701
k: 35 ,beta: 0.8 -----> mean: 0.7014 ,std: 0.002 ,maximum accuracy: 0.705
k: 35 ,beta: 0.9 -----> mean: 0.7002 ,std: 0.0026 ,maximum accuracy: 0.704
k: 35 ,beta: 1.0 -----> mean: 0.6996 ,std: 0.0017 ,maximum accuracy: 0.702
k: 40 ,beta: 0.0 -----> mean: 0.7006 ,std: 0.0029 ,maximum accuracy: 0.705
k: 40 ,beta: 0.1 -----> mean: 0.7048 ,std: 0.0065 ,maximum accuracy: 0.717
k: 40 ,beta: 0.2 -----> mean: 0.7008 ,std: 0.0015 ,maximum accuracy: 0.703
k: 40 ,beta: 0.3 -----> mean: 0.7008 ,std: 0.0032 ,maximum accuracy: 0.706
k: 40 ,beta: 0.4 -----> mean: 0.7002 ,std: 0.0038 ,maximum accuracy: 0.705
k: 40 ,beta: 0.5 -----> mean: 0.6998 ,std: 0.0031 ,maximum accuracy: 0.704
k: 40 ,beta: 0.6 -----> mean: 0.7014 ,std: 0.0038 ,maximum accuracy: 0.706
k: 40 ,beta: 0.7 -----> mean: 0.7014 ,std: 0.0039 ,maximum accuracy: 0.708
k: 40 ,beta: 0.8 -----> mean: 0.7016 ,std: 0.0041 ,maximum accuracy: 0.707
k: 40 ,beta: 0.9 -----> mean: 0.7 ,std: 0.0044 ,maximum accuracy: 0.708
k: 40 ,beta: 1.0 -----> mean: 0.6994 ,std: 0.001 ,maximum accuracy: 0.701
k: 45 ,beta: 0.0 -----> mean: 0.6992 ,std: 0.0034 ,maximum accuracy: 0.703
k: 45 ,beta: 0.1 -----> mean: 0.7018 ,std: 0.0035 ,maximum accuracy: 0.708
k: 45 ,beta: 0.2 -----> mean: 0.6992 ,std: 0.0029 ,maximum accuracy: 0.703
k: 45 ,beta: 0.3 -----> mean: 0.7024 ,std: 0.0023 ,maximum accuracy: 0.706
k: 45 ,beta: 0.4 -----> mean: 0.6996 ,std: 0.0035 ,maximum accuracy: 0.705
k: 45 ,beta: 0.5 -----> mean: 0.7004 ,std: 0.0029 ,maximum accuracy: 0.704
k: 45 ,beta: 0.6 -----> mean: 0.7006 ,std: 0.0039 ,maximum accuracy: 0.707
k: 45 ,beta: 0.7 -----> mean: 0.7042 ,std: 0.0047 ,maximum accuracy: 0.712
k: 45 ,beta: 0.8 -----> mean: 0.7 ,std: 0.0014 ,maximum accuracy: 0.702
k: 45 ,beta: 0.9 -----> mean: 0.699 ,std: 0.0043 ,maximum accuracy: 0.706
k: 45 ,beta: 1.0 -----> mean: 0.6998 ,std: 0.0032 ,maximum accuracy: 0.705
k: 50 ,beta: 0.0 -----> mean: 0.6986 ,std: 0.0029 ,maximum accuracy: 0.704
k: 50 ,beta: 0.1 -----> mean: 0.7008 ,std: 0.0039 ,maximum accuracy: 0.707
k: 50 ,beta: 0.2 -----> mean: 0.7012 ,std: 0.0027 ,maximum accuracy: 0.706
k: 50 ,beta: 0.3 -----> mean: 0.703 ,std: 0.0029 ,maximum accuracy: 0.707
k: 50 ,beta: 0.4 -----> mean: 0.7016 ,std: 0.0022 ,maximum accuracy: 0.705
k: 50 ,beta: 0.5 -----> mean: 0.7014 ,std: 0.003 ,maximum accuracy: 0.705
k: 50 ,beta: 0.6 -----> mean: 0.7 ,std: 0.0014 ,maximum accuracy: 0.702
k: 50 ,beta: 0.7 -----> mean: 0.6998 ,std: 0.0043 ,maximum accuracy: 0.704
k: 50 ,beta: 0.8 -----> mean: 0.7018 ,std: 0.0034 ,maximum accuracy: 0.705
k: 50 ,beta: 0.9 -----> mean: 0.7014 ,std: 0.0042 ,maximum accuracy: 0.709
k: 50 ,beta: 1.0 -----> mean: 0.6994 ,std: 0.0016 ,maximum accuracy: 0.701
k: 60 ,beta: 0.0 -----> mean: 0.6982 ,std: 0.0043 ,maximum accuracy: 0.706
k: 60 ,beta: 0.1 -----> mean: 0.7004 ,std: 0.0024 ,maximum accuracy: 0.703
k: 60 ,beta: 0.2 -----> mean: 0.699 ,std: 0.0044 ,maximum accuracy: 0.705
k: 60 ,beta: 0.3 -----> mean: 0.702 ,std: 0.0032 ,maximum accuracy: 0.707
k: 60 ,beta: 0.4 -----> mean: 0.6994 ,std: 0.0015 ,maximum accuracy: 0.702
k: 60 ,beta: 0.5 -----> mean: 0.7038 ,std: 0.0031 ,maximum accuracy: 0.708
k: 60 ,beta: 0.6 -----> mean: 0.6986 ,std: 0.0021 ,maximum accuracy: 0.701
k: 60 ,beta: 0.7 -----> mean: 0.7032 ,std: 0.0017 ,maximum accuracy: 0.706
k: 60 ,beta: 0.8 -----> mean: 0.6976 ,std: 0.0037 ,maximum accuracy: 0.703
k: 60 ,beta: 0.9 -----> mean: 0.6998 ,std: 0.0045 ,maximum accuracy: 0.705
k: 60 ,beta: 1.0 -----> mean: 0.7016 ,std: 0.0019 ,maximum accuracy: 0.705
k: 70 ,beta: 0.0 -----> mean: 0.7004 ,std: 0.0017 ,maximum accuracy: 0.702
k: 70 ,beta: 0.1 -----> mean: 0.6988 ,std: 0.001 ,maximum accuracy: 0.7
k: 70 ,beta: 0.2 -----> mean: 0.7006 ,std: 0.0029 ,maximum accuracy: 0.704
k: 70 ,beta: 0.3 -----> mean: 0.699 ,std: 0.0014 ,maximum accuracy: 0.701
k: 70 ,beta: 0.4 -----> mean: 0.699 ,std: 0.002 ,maximum accuracy: 0.702
k: 70 ,beta: 0.5 -----> mean: 0.6966 ,std: 0.0046 ,maximum accuracy: 0.703
k: 70 ,beta: 0.6 -----> mean: 0.7044 ,std: 0.0031 ,maximum accuracy: 0.71
k: 70 ,beta: 0.7 -----> mean: 0.7006 ,std: 0.0024 ,maximum accuracy: 0.705
k: 70 ,beta: 0.8 -----> mean: 0.7022 ,std: 0.0026 ,maximum accuracy: 0.705
k: 70 ,beta: 0.9 -----> mean: 0.7092 ,std: 0.0039 ,maximum accuracy: 0.716
k: 70 ,beta: 1.0 -----> mean: 0.7002 ,std: 0.0026 ,maximum accuracy: 0.704
